date_id,full_date,day,month,month_name,quarter,year,week_number
20250101,01-01-2025,1,1,January,Q1,2025,1
20250102,02-01-2025,2,1,January,Q1,2025,1
20250103,03-01-2025,3,1,January,Q1,2025,1
20250104,04-01-2025,4,1,January,Q1,2025,1
20250105,05-01-2025,5,1,January,Q1,2025,1
20250106,06-01-2025,6,1,January,Q1,2025,2
20250107,07-01-2025,7,1,January,Q1,2025,2
20250108,08-01-2025,8,1,January,Q1,2025,2
20250109,09-01-2025,9,1,January,Q1,2025,2
20250110,10-01-2025,10,1,January,Q1,2025,2
20250111,11-01-2025,11,1,January,Q1,2025,2
20250112,12-01-2025,12,1,January,Q1,2025,2
20250113,13-01-2025,13,1,January,Q1,2025,3
20250114,14-01-2025,14,1,January,Q1,2025,3
20250115,15-01-2025,15,1,January,Q1,2025,3
20250116,16-01-2025,16,1,January,Q1,2025,3
20250117,17-01-2025,17,1,January,Q1,2025,3
20250118,18-01-2025,18,1,January,Q1,2025,3
20250119,19-01-2025,19,1,January,Q1,2025,3
20250120,20-01-2025,20,1,January,Q1,2025,4
20250121,21-01-2025,21,1,January,Q1,2025,4
20250122,22-01-2025,22,1,January,Q1,2025,4
20250123,23-01-2025,23,1,January,Q1,2025,4
20250124,24-01-2025,24,1,January,Q1,2025,4
20250125,25-01-2025,25,1,January,Q1,2025,4
20250126,26-01-2025,26,1,January,Q1,2025,4
20250127,27-01-2025,27,1,January,Q1,2025,5
20250128,28-01-2025,28,1,January,Q1,2025,5
20250129,29-01-2025,29,1,January,Q1,2025,5
20250130,30-01-2025,30,1,January,Q1,2025,5
20250131,31-01-2025,31,1,January,Q1,2025,5
20250201,01-02-2025,1,2,February,Q1,2025,5
20250202,02-02-2025,2,2,February,Q1,2025,5
20250203,03-02-2025,3,2,February,Q1,2025,6
20250204,04-02-2025,4,2,February,Q1,2025,6
20250205,05-02-2025,5,2,February,Q1,2025,6
20250206,06-02-2025,6,2,February,Q1,2025,6
20250207,07-02-2025,7,2,February,Q1,2025,6
20250208,08-02-2025,8,2,February,Q1,2025,6
20250209,09-02-2025,9,2,February,Q1,2025,6
20250210,10-02-2025,10,2,February,Q1,2025,7
20250211,11-02-2025,11,2,February,Q1,2025,7
20250212,12-02-2025,12,2,February,Q1,2025,7
20250213,13-02-2025,13,2,February,Q1,2025,7
20250214,14-02-2025,14,2,February,Q1,2025,7
20250215,15-02-2025,15,2,February,Q1,2025,7
20250216,16-02-2025,16,2,February,Q1,2025,7
20250217,17-02-2025,17,2,February,Q1,2025,8
20250218,18-02-2025,18,2,February,Q1,2025,8
20250219,19-02-2025,19,2,February,Q1,2025,8
20250220,20-02-2025,20,2,February,Q1,2025,8
20250221,21-02-2025,21,2,February,Q1,2025,8
20250222,22-02-2025,22,2,February,Q1,2025,8
20250223,23-02-2025,23,2,February,Q1,2025,8
20250224,24-02-2025,24,2,February,Q1,2025,9
20250225,25-02-2025,25,2,February,Q1,2025,9
20250226,26-02-2025,26,2,February,Q1,2025,9
20250227,27-02-2025,27,2,February,Q1,2025,9
20250228,28-02-2025,28,2,February,Q1,2025,9
20250301,01-03-2025,1,3,March,Q1,2025,9
20250302,02-03-2025,2,3,March,Q1,2025,9
20250303,03-03-2025,3,3,March,Q1,2025,10
20250304,04-03-2025,4,3,March,Q1,2025,10
20250305,05-03-2025,5,3,March,Q1,2025,10
20250306,06-03-2025,6,3,March,Q1,2025,10
20250307,07-03-2025,7,3,March,Q1,2025,10
20250308,08-03-2025,8,3,March,Q1,2025,10
20250309,09-03-2025,9,3,March,Q1,2025,10
20250310,10-03-2025,10,3,March,Q1,2025,11
20250311,11-03-2025,11,3,March,Q1,2025,11
20250312,12-03-2025,12,3,March,Q1,2025,11
20250313,13-03-2025,13,3,March,Q1,2025,11
20250314,14-03-2025,14,3,March,Q1,2025,11
