complaint_id,date_id,customer_id,part_id,defect_id,complaint_qty,cost_impact,status
800000,20250101,1,1016,5,18,7126.41,Under Investigation
800001,20250101,5,1027,8,65,10449.84,Open
800002,20250104,3,1025,5,47,23037.83,Open
800003,20250104,1,1029,5,21,5391.22,Under Investigation
800004,20250104,2,1027,5,42,16993.68,Closed
800005,20250105,4,1011,4,5,2257.47,Closed
800006,20250105,1,1021,8,41,12380.98,Closed
800007,20250107,2,1015,4,63,14064.0,Closed
800008,20250110,3,1012,3,32,12533.64,Open
800009,20250110,2,1004,8,24,4719.6,Open
800010,20250111,1,1007,1,75,20883.29,Open
800011,20250111,1,1015,6,8,1582.02,Open
800012,20250112,2,1026,2,25,5620.99,Under Investigation
800013,20250113,2,1029,1,36,5953.83,Closed
800014,20250114,3,1013,5,51,12012.44,Open
800015,20250115,3,1003,1,54,13267.41,Open
800016,20250115,4,1026,7,44,7743.57,Open
800017,20250116,2,1014,5,41,11153.15,Under Investigation
800018,20250117,3,1014,2,53,12873.42,Under Investigation
800019,20250118,2,1029,4,71,16378.21,Under Investigation
800020,20250118,2,1003,1,64,9955.43,Under Investigation
800021,20250119,2,1012,2,58,24347.52,Under Investigation
800022,20250119,1,1021,1,23,4284.31,Closed
800023,20250120,3,1010,2,73,23240.48,Open
800024,20250122,3,1023,2,22,4476.72,Under Investigation
800025,20250123,5,1023,3,60,21411.2,Under Investigation
800026,20250124,3,1024,1,45,14690.16,Closed
800027,20250124,4,1011,8,20,6770.79,Open
800028,20250124,3,1009,3,62,29797.53,Closed
800029,20250125,5,1008,4,38,7019.43,Closed
800030,20250125,3,1008,3,8,2668.34,Closed
800031,20250126,2,1003,6,53,9123.34,Closed
800032,20250126,4,1014,4,73,14893.31,Open
800033,20250127,5,1012,5,61,26312.01,Open
800034,20250127,2,1010,6,8,2605.7,Open
800035,20250129,1,1003,2,31,8525.2,Under Investigation
800036,20250130,3,1022,6,25,8473.6,Open
800037,20250130,5,1009,2,74,17485.13,Under Investigation
800038,20250130,5,1023,6,33,15216.25,Under Investigation
800039,20250131,1,1015,8,71,30443.2,Closed
800040,20250201,1,1002,7,34,11929.32,Open
800041,20250202,1,1005,7,26,4297.69,Closed
800042,20250204,3,1003,8,48,20870.32,Closed
800043,20250204,3,1014,5,63,17381.77,Open
800044,20250204,4,1007,1,72,26005.16,Open
800045,20250206,2,1004,6,42,8914.74,Closed
800046,20250206,5,1002,8,32,15472.66,Open
800047,20250207,2,1015,8,14,3086.63,Under Investigation
800048,20250208,5,1017,5,68,17415.21,Under Investigation
800049,20250209,2,1007,7,5,795.99,Under Investigation
800050,20250211,2,1029,8,31,5523.98,Open
800051,20250211,2,1023,1,27,11648.47,Open
800052,20250213,1,1014,2,41,15325.29,Under Investigation
800053,20250216,4,1022,5,58,12415.27,Open
