complaint_id,date_id,customer_id,part_id,defect_id,complaint_qty,cost_impact,status
800000,20251124,2,1005,3,11,4587,Open
800001,20250227,5,1018,1,66,32076,Closed
800002,20250113,3,1028,4,11,3652,Closed
800003,20250521,2,1010,5,66,14850,Under Investigation
800004,20250506,1,1029,6,11,3586,Closed
800005,20250425,1,1022,3,11,4598,Under Investigation
800006,20250313,1,1021,5,31,14198,Closed
800007,20250222,4,1006,1,11,3432,Under Investigation
800008,20251213,3,1001,1,11,3564,Under Investigation
800009,20251007,3,1005,5,11,4587,Open
800010,20250214,1,1009,2,66,28842,Closed
800011,20251030,5,1012,1,31,10137,Under Investigation
800012,20250805,4,1026,1,11,4873,Open
800013,20250117,1,1014,4,31,13423,Open
800014,20250116,1,1002,8,31,8525,Under Investigation
800015,20250217,1,1017,5,11,5181,Under Investigation
800016,20250422,1,1014,1,31,13423,Closed
800017,20250430,2,1026,1,11,4873,Closed
800018,20250916,2,1013,1,11,2882,Open
800019,20251105,1,1027,6,31,13330,Closed
800020,20250114,3,1009,1,11,4807,Open
800021,20251015,1,1026,5,31,13733,Closed
800022,20250412,1,1025,1,31,8711,Closed
800023,20251129,2,1015,5,11,2948,Under Investigation
800024,20251226,2,1025,2,31,8711,Closed
800025,20251007,3,1022,3,11,4598,Under Investigation
800026,20250803,1,1015,1,66,17688,Under Investigation
800027,20250423,2,1024,1,31,13268,Closed
800028,20250818,2,1030,1,66,22506,Under Investigation
800029,20251029,1,1011,6,31,15035,Under Investigation
800030,20250523,3,1016,4,11,4807,Under Investigation
800031,20250104,1,1029,5,31,10106,Closed
800032,20250323,1,1017,2,66,31086,Under Investigation
800033,20251224,5,1026,2,31,13733,Open
800034,20250805,5,1004,1,66,16764,Closed
800035,20250624,4,1001,6,66,21384,Closed
800036,20250523,1,1008,5,11,5115,Open
800037,20250321,1,1017,5,11,5181,Open
800038,20250421,3,1003,5,31,6262,Open
800039,20250622,2,1029,1,31,10106,Under Investigation
800040,20250222,1,1020,1,66,28116,Under Investigation
