production_id,date_id,shift_id,machine_id,operator_id,part_id,planned_qty,actual_qty,downtime_minutes
100000,20250101,1,102,209,1001,674,670,73
100001,20250101,1,101,204,1002,997,747,67
100002,20250101,1,101,211,1003,1170,644,67
100003,20250101,1,103,215,1004,1123,659,50
100004,20250101,1,102,219,1005,1098,784,120
100005,20250101,1,104,214,1006,1017,801,121
100006,20250101,1,105,205,1007,856,687,6
100007,20250101,1,101,210,1008,875,703,6
100008,20250101,1,104,205,1009,955,659,74
100009,20250101,1,104,213,1010,1188,730,150
100010,20250101,1,101,207,1011,842,763,74
100011,20250101,1,104,214,1012,1091,956,74
100012,20250101,1,102,205,1013,683,589,92
100013,20250101,1,104,209,1014,698,632,90
100014,20250101,1,102,213,1015,1024,828,37
100015,20250101,1,105,207,1016,675,629,51
100016,20250101,1,104,216,1017,614,559,8
100017,20250101,1,101,205,1018,707,643,136
100018,20250101,1,101,201,1019,913,785,48
100019,20250101,1,101,218,1020,1148,878,52
100020,20250101,1,101,210,1021,772,710,12
100021,20250101,1,101,208,1022,1178,771,18
100022,20250101,1,103,212,1023,1199,1098,93
100023,20250101,1,104,206,1024,659,612,90
100024,20250101,1,102,206,1025,719,611,127
100025,20250101,1,105,218,1026,1189,731,99
100026,20250101,1,101,210,1027,783,560,105
100027,20250101,1,102,214,1028,913,565,145
100028,20250101,1,105,204,1029,676,669,17
100029,20250101,1,102,206,1030,761,684,112
100030,20250101,2,105,220,1001,652,565,55
100031,20250101,2,103,211,1002,670,662,38
100032,20250101,2,105,220,1003,691,575,74
100033,20250101,2,102,217,1004,1082,842,124
100034,20250101,2,102,216,1005,731,659,35
100035,20250101,2,104,220,1006,945,618,21
100036,20250101,2,102,211,1007,799,573,83
100037,20250101,2,102,203,1008,1025,916,35
100038,20250101,2,103,212,1009,1108,564,121
100039,20250101,2,103,203,1010,882,594,49
100040,20250101,2,104,204,1011,955,564,101
100041,20250101,2,101,203,1012,943,835,106
100042,20250101,2,104,219,1013,1149,559,109
100043,20250101,2,104,220,1014,746,632,74
100044,20250101,2,101,220,1015,883,552,134
100045,20250101,2,105,214,1016,618,567,125
100046,20250101,2,104,203,1017,682,608,114
100047,20250101,2,104,214,1018,726,715,131
100048,20250101,2,102,211,1019,803,684,48
100049,20250101,2,104,201,1020,828,617,86
100050,20250101,2,101,204,1021,703,669,78
100051,20250101,2,105,217,1022,889,634,107
100052,20250101,2,102,204,1023,1065,836,48
100053,20250101,2,104,212,1024,855,767,57
100054,20250101,2,103,201,1025,981,806,14
100055,20250101,2,103,204,1026,715,680,122
100056,20250101,2,102,219,1027,808,607,99
100057,20250101,2,102,205,1028,808,714,43
100058,20250101,2,104,214,1029,960,927,17
100059,20250101,2,105,216,1030,1093,642,71
100060,20250101,3,103,202,1001,1090,950,10
100061,20250101,3,105,202,1002,706,642,21
100062,20250101,3,105,202,1003,977,599,113
100063,20250101,3,104,202,1004,1114,622,112
100064,20250101,3,103,209,1005,734,702,129
100065,20250101,3,101,210,1006,1006,933,69
100066,20250101,3,102,210,1007,987,718,148
100067,20250101,3,105,205,1008,1086,858,44
100068,20250101,3,102,206,1009,1196,980,51
100069,20250101,3,102,209,1010,656,592,124
100070,20250101,3,103,208,1011,659,591,73
100071,20250101,3,103,220,1012,625,570,9
100072,20250101,3,104,208,1013,996,580,100
100073,20250101,3,105,215,1014,962,795,27
100074,20250101,3,105,211,1015,1176,1128,15
100075,20250101,3,101,218,1016,674,604,25
100076,20250101,3,101,213,1017,777,674,34
100077,20250101,3,102,209,1018,1008,858,126
100078,20250101,3,102,219,1019,863,720,64
100079,20250101,3,102,206,1020,1126,1058,137
100080,20250101,3,101,218,1021,735,628,55
100081,20250101,3,104,219,1022,936,833,41
100082,20250101,3,102,203,1023,1151,732,18
100083,20250101,3,102,209,1024,1157,601,60
100084,20250101,3,105,209,1025,817,562,31
100085,20250101,3,103,202,1026,670,593,117
100086,20250101,3,101,217,1027,1040,646,119
100087,20250101,3,104,208,1028,982,818,29
100088,20250101,3,105,215,1029,1165,806,15
100089,20250101,3,104,205,1030,663,571,76
100090,20250102,1,102,214,1001,692,602,130
100091,20250102,1,104,208,1002,798,720,64
100092,20250102,1,101,209,1003,1126,849,101
100093,20250102,1,103,206,1004,1157,881,122
100094,20250102,1,104,207,1005,1078,831,132
100095,20250102,1,102,213,1006,1130,1087,75
100096,20250102,1,105,219,1007,757,733,83
100097,20250102,1,105,205,1008,928,554,122
100098,20250102,1,105,214,1009,797,579,73
100099,20250102,1,102,217,1010,871,786,98
100100,20250102,1,104,214,1011,925,573,46
100101,20250102,1,101,216,1012,801,650,143
100102,20250102,1,102,211,1013,746,605,45
100103,20250102,1,103,201,1014,813,663,80
100104,20250102,1,105,206,1015,661,602,10
100105,20250102,1,104,215,1016,843,681,11
100106,20250102,1,102,212,1017,733,669,12
100107,20250102,1,105,211,1018,753,669,131
100108,20250102,1,104,207,1019,895,853,57
100109,20250102,1,102,218,1020,1116,1034,41
100110,20250102,1,104,206,1021,1060,980,35
100111,20250102,1,104,206,1022,950,813,87
100112,20250102,1,101,214,1023,621,592,36
100113,20250102,1,101,220,1024,1172,595,123
100114,20250102,1,103,203,1025,1105,635,86
100115,20250102,1,102,213,1026,1106,1005,79
100116,20250102,1,102,219,1027,1086,765,48
100117,20250102,1,105,215,1028,1120,583,97
100118,20250102,1,104,201,1029,1172,797,46
100119,20250102,1,103,220,1030,814,589,82
100120,20250102,2,105,212,1001,836,785,70
100121,20250102,2,105,217,1002,895,735,48
100122,20250102,2,103,212,1003,938,853,74
100123,20250102,2,103,214,1004,1094,729,60
100124,20250102,2,105,210,1005,693,554,58
100125,20250102,2,103,217,1006,638,614,15
100126,20250102,2,105,204,1007,873,853,43
100127,20250102,2,104,213,1008,871,686,5
100128,20250102,2,102,207,1009,955,551,47
100129,20250102,2,104,203,1010,656,572,113
100130,20250102,2,105,202,1011,1019,985,51
100131,20250102,2,101,211,1012,1157,914,123
100132,20250102,2,104,210,1013,785,613,135
100133,20250102,2,102,208,1014,617,603,12
100134,20250102,2,103,202,1015,1121,805,125
100135,20250102,2,105,202,1016,804,580,61
100136,20250102,2,102,215,1017,928,823,34
100137,20250102,2,101,216,1018,657,628,78
100138,20250102,2,105,208,1019,985,707,139
100139,20250102,2,103,210,1020,1004,740,60
100140,20250102,2,105,212,1021,1074,885,93
100141,20250102,2,102,216,1022,861,583,87
100142,20250102,2,103,218,1023,1036,924,37
100143,20250102,2,104,215,1024,631,620,139
100144,20250102,2,105,210,1025,1102,871,85
100145,20250102,2,104,203,1026,647,587,135
100146,20250102,2,102,209,1027,804,703,98
100147,20250102,2,101,214,1028,723,613,50
100148,20250102,2,105,216,1029,1020,613,140
100149,20250102,2,105,216,1030,820,688,72
100150,20250102,3,104,220,1001,832,719,144
100151,20250102,3,101,220,1002,682,630,65
100152,20250102,3,101,209,1003,735,676,17
100153,20250102,3,101,201,1004,835,644,90
100154,20250102,3,102,212,1005,1068,816,112
100155,20250102,3,103,220,1006,615,601,83
100156,20250102,3,101,209,1007,831,575,145
100157,20250102,3,103,218,1008,1195,1162,74
