production_id,date_id,shift_id,machine_id,operator_id,part_id,planned_qty,actual_qty,downtime_minutes
100000,20250323,1,103,207,1022,803,707,106
100001,20250115,3,101,202,1020,1170,881,38
100002,20250104,2,105,206,1023,504,423,32
100003,20250205,2,103,218,1019,972,811,120
100004,20250201,1,102,206,1017,1045,927,46
100005,20250129,1,103,213,1004,934,831,72
100006,20250118,1,103,219,1003,958,878,112
100007,20250114,3,102,202,1001,1090,792,65
100008,20250328,2,104,212,1018,720,597,131
100009,20250311,2,104,215,1027,817,690,108
100010,20250112,1,101,214,1021,1176,1091,25
100011,20250317,3,101,206,1015,1267,1012,22
100012,20250224,3,104,218,1008,723,535,128
100013,20250105,1,105,205,1001,641,585,30
100014,20250104,1,103,218,1020,802,745,65
100015,20250112,1,105,203,1014,627,588,30
100016,20250128,1,103,203,1004,1000,903,114
100017,20250130,2,104,210,1005,724,631,85
100018,20250306,2,101,219,1023,1158,945,56
100019,20250319,1,101,203,1013,1221,1097,24
100020,20250104,2,105,212,1028,675,589,38
100021,20250313,1,101,216,1024,1239,1139,22
100022,20250126,1,104,217,1015,745,704,120
100023,20250325,1,105,207,1006,504,477,28
100024,20250331,2,103,213,1001,836,719,105
100025,20250311,3,101,202,1023,1201,952,39
100026,20250223,1,102,204,1019,1041,957,76
100027,20250129,2,101,210,1013,1199,1024,54
100028,20250227,2,103,207,1029,884,734,107
100029,20250317,1,105,217,1029,535,500,32
100030,20250205,2,103,206,1006,985,794,107
100031,20250101,1,102,219,1015,1088,961,67
100032,20250121,1,104,205,1016,759,712,123
100033,20250331,3,101,210,1024,1254,974,58
100034,20250224,3,105,209,1023,601,478,20
100035,20250213,3,104,213,1016,707,539,137
100036,20250205,1,103,219,1010,925,828,95
100037,20250120,1,105,206,1022,596,542,31
100038,20250128,2,104,204,1009,849,724,90
100039,20250213,2,105,203,1009,697,592,35
100040,20250114,1,102,203,1017,1063,988,45
100041,20250112,2,102,204,1017,1068,867,85
100042,20250218,1,101,205,1017,1300,1201,44
100043,20250113,3,101,208,1024,1181,869,25
100044,20250215,1,102,216,1012,1001,946,68
100045,20250214,2,105,203,1013,592,509,13
100046,20250319,1,102,212,1030,1033,915,67
100047,20250203,2,101,208,1012,1214,1025,52
100048,20250106,2,102,213,1014,1104,892,45
100049,20250228,1,102,204,1010,1090,1001,78
100050,20250310,3,105,214,1023,653,508,37
100051,20250116,3,104,214,1019,798,559,132
100052,20250218,3,101,213,1029,1199,932,55
100053,20250111,3,105,206,1002,562,425,15
100054,20250312,2,102,217,1004,1175,975,48
100055,20250207,3,102,204,1019,1068,779,71
100056,20250322,1,104,208,1007,737,651,135
100057,20250321,1,101,217,1026,1170,1064,50
100058,20250216,1,101,203,1015,1300,1150,36
100059,20250315,1,103,217,1015,863,802,91
100060,20250125,1,101,209,1024,1252,1155,49
100061,20250109,1,104,202,1006,727,646,80
100062,20250106,3,103,213,1003,901,660,99
100063,20250326,1,103,202,1006,897,839,81
100064,20250130,1,102,211,1016,1112,1004,81
100065,20250207,2,102,215,1002,1152,934,60
100066,20250111,1,101,211,1028,1254,1186,32
100067,20250130,3,103,203,1007,922,674,85
100068,20250113,1,102,203,1030,1081,973,84
100069,20250218,3,104,212,1011,862,645,153
100070,20250205,3,102,205,1026,1200,869,64
100071,20250228,1,102,207,1030,1071,1003,65
100072,20250323,1,103,207,1007,893,792,96
100073,20250216,3,103,213,1004,851,646,94
100074,20250121,2,105,209,1029,546,466,27
100075,20250217,2,104,213,1024,706,618,139
100076,20250215,3,103,212,1020,981,707,111
100077,20250127,1,101,213,1007,1174,1101,24
100078,20250327,1,104,210,1004,804,745,97
100079,20250204,1,104,201,1029,862,776,112
100080,20250331,3,103,208,1012,968,692,87
100081,20250329,2,104,216,1005,796,641,156
100082,20250324,1,103,213,1023,922,848,94
100083,20250110,1,102,203,1029,1129,1066,84
100084,20250319,1,105,203,1030,607,557,35
100085,20250323,1,102,205,1030,1092,1014,74
100086,20250122,2,103,211,1029,952,810,65
100087,20250310,2,103,207,1026,827,712,102
100088,20250201,3,102,210,1019,1170,860,81
100089,20250121,2,101,210,1026,1256,1009,45
100090,20250301,1,101,202,1005,1292,1166,47
100091,20250218,2,101,203,1027,1127,902,36
100092,20250204,3,103,208,1030,856,642,93
100093,20250323,2,104,211,1019,842,712,153
100094,20250330,3,103,213,1021,856,637,85
100095,20250313,2,104,207,1030,818,704,155
100096,20250129,2,102,213,1003,1176,987,62
100097,20250329,2,105,202,1027,506,424,19
100098,20250211,1,104,206,1026,806,761,90
100099,20250108,1,101,209,1011,1129,1059,29
100100,20250130,1,103,202,1007,889,801,89
100101,20250105,2,102,218,1029,1200,979,70
100102,20250210,1,101,216,1017,1189,1085,48
100103,20250221,2,102,212,1025,1184,1013,60
100104,20250204,3,105,207,1009,517,377,35
100105,20250109,1,103,207,1021,981,871,114
100106,20250128,2,103,217,1009,887,755,103
100107,20250314,3,105,213,1010,542,429,33
100108,20250210,1,103,211,1013,862,789,95
100109,20250128,1,104,206,1015,740,668,134
100110,20250325,1,102,214,1022,1118,1001,65
100111,20250305,1,101,206,1005,1261,1125,60
100112,20250220,3,105,206,1029,668,496,10
100113,20250324,3,104,202,1003,888,676,105
100114,20250228,2,101,215,1027,1215,1029,44
100115,20250119,3,101,217,1027,1101,848,33
100116,20250203,3,105,208,1008,571,442,35
100117,20250118,1,104,205,1020,716,659,148
100118,20250201,3,101,217,1010,1147,844,32
100119,20250313,2,101,201,1013,1217,984,51
100120,20250310,3,104,218,1029,835,665,120
100121,20250203,3,103,215,1003,952,703,85
100122,20250316,1,101,205,1029,1250,1109,42
100123,20250224,1,102,207,1022,1117,1031,83
100124,20250316,1,104,218,1008,880,823,158
100125,20250221,2,101,206,1029,1251,1009,28
100126,20250216,3,105,205,1009,580,412,19
100127,20250129,3,102,219,1030,1029,739,84
100128,20250118,1,101,210,1022,1136,1040,46
100129,20250307,2,102,215,1021,1152,934,64
100130,20250305,2,102,210,1012,1108,902,80
100131,20250112,1,103,216,1011,937,870,101
100132,20250107,1,102,212,1002,1044,959,71
100133,20250115,1,103,218,1018,873,776,80
100134,20250120,3,104,201,1009,815,620,125
100135,20250322,1,103,216,1002,802,732,72
100136,20250121,2,105,206,1002,598,524,26
100137,20250329,2,101,203,1003,1267,1063,51
100138,20250224,1,104,202,1016,806,749,136
100139,20250318,3,104,202,1019,825,591,152
100140,20250109,3,105,213,1004,507,395,17
100141,20250219,1,103,209,1023,874,771,74
100142,20250218,2,101,216,1025,1237,1018,49
100143,20250318,1,103,205,1018,944,879,109
100144,20250301,1,102,207,1020,1126,1034,47
100145,20250309,1,103,213,1025,946,840,109
100146,20250202,2,104,213,1030,839,726,126
100147,20250312,2,101,207,1018,1238,1071,22
100148,20250102,1,103,210,1010,994,924,94
100149,20250329,1,101,215,1011,1155,1096,26
100150,20250115,3,101,206,1029,1288,1008,35
100151,20250329,1,102,205,1017,1076,1012,42
100152,20250310,1,102,202,1026,1115,1001,45
100153,20250204,2,104,215,1024,812,705,95
100154,20250324,3,105,216,1025,698,545,16
100155,20250213,1,101,219,1023,1288,1186,42
100156,20250115,2,105,209,1024,681,578,23
100157,20250207,3,104,219,1020,742,565,106
100158,20250225,1,101,207,1016,1152,1078,56
100159,20250121,2,101,204,1020,1189,1001,58
100160,20250228,1,105,203,1013,637,568,32
100161,20250101,2,103,211,1002,874,719,77
100162,20250203,2,102,201,1024,1131,993,83
100163,20250306,2,103,206,1027,824,668,108
100164,20250123,1,105,211,1002,605,571,18
100165,20250306,3,102,201,1025,1167,831,48
100166,20250114,1,103,207,1014,863,768,80
100167,20250322,1,102,206,1004,1063,992,83
100168,20250208,1,101,214,1017,1200,1097,56
100169,20250323,2,103,202,1013,961,789,86
100170,20250306,2,102,204,1004,1096,916,80
100171,20250319,1,102,211,1003,1196,1060,72
100172,20250126,2,102,215,1012,1191,979,63
100173,20250120,1,103,218,1022,916,867,80
100174,20250217,2,104,201,1023,848,678,91
100175,20250121,1,103,203,1008,987,935,100
100176,20250311,2,105,203,1002,670,573,37
100177,20250309,1,103,207,1006,816,763,85
100178,20250101,3,102,201,1022,1055,840,53
100179,20250318,1,101,211,1010,1226,1101,38
100180,20250211,1,103,206,1012,886,813,68
100181,20250304,1,103,203,1021,944,887,110
100182,20250103,3,102,219,1010,1087,858,88
100183,20250115,3,101,202,1010,1112,783,60
100184,20250216,1,101,218,1023,1300,1220,21
100185,20250209,2,105,212,1003,531,464,15
100186,20250131,3,103,210,1020,912,680,87
100187,20250108,2,101,205,1010,1151,1012,28
100188,20250131,2,101,209,1029,1266,1043,37
100189,20250314,1,104,202,1009,723,669,112
100190,20250111,1,104,202,1020,721,653,101
100191,20250111,3,101,206,1019,1113,823,39
100192,20250304,3,105,210,1014,685,527,17
