rejection_id,production_id,defect_id,rejected_qty,rework_qty,rejection_cost
500001,100000,1,3,9,207.28
500006,100001,1,6,10,1165.85
500021,100006,1,12,5,2109.16
500024,100007,1,30,3,2986.04
500033,100011,1,13,3,2544.61
500043,100015,1,5,7,715.94
500052,100018,1,13,2,1033.71
500059,100020,1,12,3,2035.92
500062,100022,1,24,9,4355.17
500066,100023,1,27,10,4154.82
500069,100024,1,26,9,4558.92
500083,100029,1,24,3,1991.14
500087,100030,1,25,10,4786.59
500093,100033,1,21,9,2495.91
500098,100034,1,7,5,1079.99
500106,100038,1,29,5,5658.45
500124,100043,1,25,1,2563.67
500126,100044,1,4,5,368.75
500130,100046,1,20,6,2743.24
500140,100049,1,22,5,4313.55
500143,100050,1,21,6,2929.72
500144,100051,1,25,8,1766.36
500148,100053,1,27,8,2437.18
500161,100056,1,6,2,950.83
500164,100057,1,27,2,3918.85
500177,100060,1,12,8,684.66
500179,100061,1,14,4,2125.44
500192,100064,1,18,9,2835.22
500202,100068,1,6,1,365.27
500206,100069,1,27,4,2204
500223,100075,1,27,9,1722.52
500228,100077,1,25,1,3173.96
500231,100078,1,3,7,351.3
500235,100079,1,8,5,1020.76
500244,100082,1,27,6,4996.74
500260,100087,1,30,8,3127.94
500266,100089,1,12,0,1565.87
500272,100090,1,20,0,2345.31
500280,100092,1,13,0,1436.67
500286,100094,1,14,1,1557.01
500287,100095,1,11,4,1558.51
500295,100098,1,9,4,846.93
500304,100101,1,22,6,2564.63
500313,100103,1,17,3,3244.86
500316,100104,1,14,10,856.68
500321,100106,1,20,6,1713.76
500325,100107,1,2,10,259.61
500334,100110,1,15,5,1303.2
500351,100115,1,10,4,1016.93
500357,100116,1,2,3,193.75
500359,100117,1,28,7,1824.6
500364,100118,1,20,4,3292.91
500377,100123,1,10,9,1690.02
500386,100126,1,6,7,675.69
500387,100127,1,10,3,1199.94
500398,100130,1,27,10,2395.92
500401,100131,1,27,10,2421.35
500408,100134,1,18,4,2288.91
500430,100141,1,21,10,3002.13
500434,100142,1,5,9,273.88
500438,100144,1,25,0,1711.47
500442,100145,1,9,7,541.47
500444,100146,1,28,8,5293.5
500460,100151,1,7,0,865.03
500469,100154,1,22,6,1492.17
500482,100158,1,15,3,2731.66
500492,100162,1,9,2,1797.97
500493,100163,1,29,1,2201.32
500498,100164,1,13,8,841.96
500507,100166,1,20,3,1647.86
500519,100171,1,16,6,2052.72
500523,100172,1,2,9,179.48
500526,100173,1,22,3,2323.72
500535,100176,1,10,10,1780.04
500537,100177,1,20,7,1370.85
500549,100180,1,5,3,295.37
500550,100181,1,20,2,3583.45
500554,100182,1,28,10,2613.82
500558,100184,1,19,2,2783.34
500577,100191,1,24,9,3276.15
500583,100193,1,18,1,3176.42
500595,100197,1,10,10,833.29
500599,100198,1,10,1,1638.04
500610,100202,1,13,0,2081
500616,100205,1,16,10,2391.2
500630,100210,1,9,1,849.35
500643,100214,1,28,0,1356.91
500644,100215,1,29,0,3254.59
500646,100216,1,19,3,2929.74
500651,100217,1,27,6,2212.77
500655,100218,1,30,10,4412.12
500658,100219,1,20,10,1503.36
500662,100220,1,5,3,782.51
500670,100223,1,13,4,2171.62
500676,100224,1,28,8,1503.55
500681,100226,1,8,0,1011.55
500696,100231,1,19,0,2083.26
500698,100232,1,5,8,214.25
500721,100239,1,13,6,2218.18
500758,100251,1,15,4,1992.02
500763,100252,1,27,5,3285.35
500765,100253,1,25,8,4107.67
500768,100254,1,26,7,4542.18
500774,100255,1,9,9,839.29
500781,100258,1,19,6,1173.43
500784,100259,1,28,10,2900.28
500791,100261,1,18,2,2382.63
500799,100263,1,3,7,217.81
500801,100264,1,8,5,1061.16
500813,100268,1,17,8,2830.38
500816,100269,1,30,1,1475.6
500824,100273,1,30,8,3007.82
500841,100279,1,13,9,2568.58
500854,100283,1,25,2,1148.34
500859,100285,1,18,10,3562.77
500865,100287,1,24,10,2708.93
500876,100291,1,27,9,5262.34
500880,100292,1,6,10,983.18
500884,100294,1,25,3,1907.73
500887,100295,1,11,1,1410.55
500895,100297,1,21,9,1540.13
500899,100299,1,26,7,3796.09
500903,100300,1,17,8,1026.21
500905,100301,1,28,9,2923.31
500917,100306,1,1,0,107.08
500921,100307,1,25,6,2660.96
500932,100310,1,1,8,179.32
500944,100315,1,8,4,401.32
500948,100317,1,9,1,1074.33
500953,100319,1,21,2,3464.99
500964,100322,1,10,8,1589.95
500969,100324,1,24,0,3862.79
500974,100326,1,14,6,1576.95
500980,100328,1,17,1,2606.21
500981,100329,1,28,5,1454.41
500989,100331,1,14,9,2336.74
501000,100334,1,26,1,1265.79
501017,100341,1,25,4,4632.69
501021,100342,1,27,4,1151.16
501039,100347,1,16,9,852.54
501041,100348,1,14,2,681.54
501047,100349,1,14,10,2097.69
501049,100350,1,10,2,626.86
501051,100351,1,7,5,571.33
501054,100352,1,18,8,1038.92
501060,100353,1,25,8,3221.38
501062,100354,1,4,1,777.04
501071,100357,1,4,5,544.44
501076,100358,1,9,10,1352.58
501087,100361,1,26,6,2669.48
501096,100364,1,12,5,1560.66
501101,100366,1,21,0,3772.56
501106,100368,1,12,4,1353.25
501115,100370,1,29,9,2994.95
501118,100372,1,13,6,2510.68
501125,100374,1,5,1,268.24
501128,100375,1,9,0,478.04
501145,100380,1,14,4,2376.31
501152,100381,1,28,8,3781
501153,100382,1,1,0,57.37
501160,100385,1,16,6,2296.94
501165,100387,1,2,2,326.26
501168,100388,1,12,5,1077.96
501182,100392,1,14,9,1020.13
501185,100393,1,14,9,1708.22
501194,100396,1,13,1,1146.83
501200,100397,1,4,6,662.67
501204,100398,1,25,6,4697.91
501206,100399,1,5,0,295.62
501212,100400,1,29,0,2897.82
501217,100403,1,6,6,1006.86
501222,100405,1,28,4,3373.76
501228,100407,1,27,0,4004.26
501235,100409,1,3,9,537.83
501242,100410,1,5,0,907.73
501247,100412,1,6,7,540.91
501249,100413,1,10,1,728.48
501257,100415,1,27,4,3415.2
501258,100416,1,16,10,1757.76
501271,100420,1,8,5,987.47
501292,100428,1,8,2,1170.43
501299,100430,1,26,4,2022.06
501304,100431,1,4,7,171.98
501321,100437,1,6,10,578.25
501326,100438,1,15,8,1252.47
501327,100439,1,17,1,2796.73
501360,100449,1,17,7,1782.53
501374,100453,1,7,0,1165.83
501377,100454,1,13,0,2030.56
501385,100457,1,30,5,4530.66
501388,100458,1,4,5,501.95
501400,100462,1,23,6,3461.06
501403,100463,1,21,8,991.4
501415,100467,1,14,7,870.89
501421,100469,1,15,9,2323.58
501424,100470,1,12,9,983.86
501426,100471,1,23,8,2424.19
501430,100473,1,2,4,139.16
501447,100478,1,14,10,1734.22
501452,100479,1,5,7,603.61
501455,100480,1,21,2,1437
501461,100483,1,1,8,150.76
501464,100484,1,24,0,4083.78
501482,100490,1,30,3,5891.08
501502,100496,1,30,6,3704.73
501512,100499,1,21,0,1172.75
501530,100506,1,19,5,3660.28
501540,100510,1,8,5,347.82
501550,100513,1,27,5,3256.41
501556,100515,1,3,2,434.53
501572,100520,1,14,6,2631.84
501581,100523,1,16,10,2149.68
501592,100526,1,7,6,921.85
501594,100527,1,27,5,3996.89
501622,100536,1,6,0,638.29
501625,100537,1,11,1,1657.08
501630,100538,1,17,0,2833.05
501633,100540,1,16,2,2093.06
501636,100541,1,30,1,2842.02
501641,100542,1,20,5,2404.15
501642,100543,1,14,10,2765.89
501660,100548,1,19,9,3255.52
501675,100552,1,8,4,1498.08
501677,100553,1,6,10,598.06
501684,100555,1,11,6,1235.16
501689,100557,1,26,6,4282.07
501697,100559,1,5,6,322
501703,100561,1,25,5,3932.35
501716,100565,1,27,6,3485.22
501735,100571,1,20,10,1931.54
501739,100572,1,11,6,878.33
501749,100575,1,20,3,3034.08
501752,100577,1,26,10,1818.29
501762,100581,1,24,3,3356.6
501764,100582,1,16,0,2041.27
501767,100583,1,16,9,1814.84
501772,100585,1,11,9,1953.14
501775,100586,1,18,4,2628.11
501780,100588,1,28,4,3521.08
501799,100593,1,19,7,2213.31
501800,100594,1,16,6,2990.56
501807,100597,1,29,2,2168.87
501810,100598,1,17,2,774.4
501814,100600,1,14,9,1727.46
501829,100604,1,29,7,4097.62
501835,100607,1,17,7,2541
501849,100611,1,16,4,1396
501854,100613,1,24,10,3617.19
501876,100619,1,25,9,2172.19
501885,100622,1,15,5,1973.59
501894,100625,1,21,2,1610.74
501913,100631,1,23,2,2905.66
501927,100636,1,18,7,1853.38
501936,100639,1,4,6,183.63
501941,100641,1,7,3,731.21
501949,100644,1,5,1,589.52
501956,100645,1,22,1,4127.94
501966,100648,1,15,7,1234.16
501969,100649,1,10,2,1761.28
501974,100651,1,12,1,1298.78
501984,100655,1,26,8,2030.09
501995,100659,1,1,8,189.41
502004,100661,1,13,1,2325.2
502012,100664,1,1,4,109.41
502021,100667,1,18,9,1000.87
502027,100669,1,12,8,1219.09
502029,100670,1,13,3,2164.82
502033,100671,1,27,3,2702.38
502038,100672,1,22,0,1824.99
502039,100673,1,3,4,262.75
