rejection_id,production_id,defect_id,rejected_qty,rework_qty,rejection_cost
500000,100860,3,8,1,1520.31
500001,101294,1,12,3,1166.41
500002,101130,2,5,1,682.51
500003,101095,8,26,10,9710.98
500004,101638,5,13,2,3699.71
500005,102169,3,27,12,5203.5
500006,100466,1,13,3,1804.72
500007,101238,3,25,4,3756.49
500008,100330,2,17,4,2470.36
500009,101482,2,14,3,1705.03
500010,102135,1,26,7,2768.86
500011,102919,6,5,1,1503.21
500012,100130,2,12,3,1459.11
500013,101685,1,33,5,3482.96
500014,100769,2,8,1,1271.94
500015,102391,2,12,4,1832.36
500016,101515,5,29,9,6696.85
500017,102853,4,24,5,5468.53
500018,102433,4,24,10,5933.52
500019,101215,1,29,7,2793.05
500020,100955,2,27,11,4545.43
500021,102324,2,26,5,4209.1
500022,101184,1,30,3,3369.96
500023,100459,1,20,9,2069.26
500024,100021,4,34,8,8847.98
500025,102300,1,15,6,1682.35
500026,100747,2,15,3,1883.47
500027,102904,1,31,11,3119.91
500028,100474,1,29,13,3963.71
500029,101082,1,18,2,2249.62
500030,102558,7,4,1,1571.99
500031,102047,5,17,5,4826.17
500032,102747,7,31,10,11007.23
500033,100975,2,30,9,5351.61
500034,101806,1,16,7,1826.71
500035,100189,2,26,3,3981.18
500036,102734,2,24,4,4074.34
500037,100562,5,26,11,7080.48
500038,101899,1,8,3,1098.9
500039,101267,2,23,2,3556.75
500040,102879,1,18,5,2336.75
500041,101528,1,19,5,1865.79
500042,100646,4,11,2,2156.61
500043,102068,2,11,2,1511.0
500044,102888,2,8,2,998.3
500045,102214,2,28,5,3751.09
500046,101297,2,34,14,4286.04
500047,102435,4,2,0,400.92
500048,100600,6,5,1,1581.41
500049,102363,7,18,3,5959.38
500050,102061,4,5,1,1042.88
500051,100241,1,27,7,2863.52
500052,102041,3,5,1,816.11
500053,102824,2,2,0,352.4
500054,102612,1,8,2,1016.85
500055,102945,5,31,7,8411.84
500056,101363,1,10,2,1042.15
500057,102139,6,9,0,2947.46
500058,101390,2,25,2,3245.1
500059,101478,3,20,3,3426.42
500060,102556,3,28,7,6026.88
500061,100775,6,33,14,10454.4
500062,100034,3,15,6,2761.51
500063,102253,3,19,3,3672.55
500064,101955,1,29,5,3957.25
500065,101585,2,30,5,4996.8
500066,101021,1,17,4,1818.9
500067,102613,4,32,9,5722.39
500068,101129,2,5,1,694.64
500069,101500,3,18,3,2938.99
