grn_id,date_id,supplier_id,material_id,quantity_received,quantity_rejected,rejection_cost,ppm
900000,20250101,3,103,4366,100,6338.56,22904.26
900001,20250101,5,103,7552,327,54925.47,43299.79
900002,20250101,6,102,11836,46,5783.85,3886.45
900003,20250103,4,102,3475,21,3520.52,6043.17
900004,20250103,1,104,7415,315,18658.42,42481.46
900005,20250105,6,103,8457,99,17196.87,11706.28
900006,20250105,2,101,7680,60,7458.26,7812.5
900007,20250107,4,104,11187,398,49443.14,35577.01
900008,20250107,3,102,4773,202,16260.04,42321.39
900009,20250109,3,103,5516,3,308.85,543.87
900010,20250109,6,103,9542,121,10591.41,12680.78
900011,20250109,2,104,11679,508,48467.6,43496.87
900012,20250109,1,101,7197,226,35485.62,31401.97
900013,20250111,2,101,10713,299,31921.51,27910.02
900014,20250111,3,101,11017,97,13091.71,8804.57
900015,20250113,4,103,9047,386,57125.91,42666.08
900016,20250113,5,101,11482,294,51486.19,25605.3
900017,20250115,2,101,9635,186,31276.8,19304.62
900018,20250115,1,103,4635,109,15014.43,23516.72
900019,20250117,6,102,8287,117,19785.44,14118.5
900020,20250117,1,102,6140,48,6721.4,7817.59
900021,20250119,3,103,4933,119,10561.08,24123.25
900022,20250119,1,104,10134,403,22756.78,39767.12
900023,20250119,4,103,8164,10,1092.21,1224.89
900024,20250119,6,101,4006,33,5355.56,8237.64
900025,20250121,3,102,5588,32,2935.16,5726.56
900026,20250121,6,101,7777,284,25907.25,36517.94
900027,20250121,5,104,8899,224,34526.71,25171.37
900028,20250123,5,104,3106,107,15289.25,34449.45
900029,20250123,6,104,8764,96,12147.85,10953.9
900030,20250123,3,102,5265,243,24885.62,46153.85
900031,20250123,2,104,11249,512,60580.73,45515.16
900032,20250125,1,103,7032,92,7781.52,13083.05
900033,20250125,5,101,3697,61,7731.82,16499.86
900034,20250125,2,104,11707,182,15204.45,15546.25
900035,20250127,4,104,5457,47,3500.92,8612.79
900036,20250127,5,102,11345,466,66428.38,41075.36
900037,20250129,6,101,10744,23,3684.64,2140.73
900038,20250129,5,103,8315,366,54115.66,44016.84
900039,20250129,4,102,4015,3,355.51,747.2
900040,20250129,2,104,5961,241,28306.72,40429.46
900041,20250131,6,103,6159,272,47764.96,44163.01
900042,20250131,3,102,3682,133,23842.71,36121.67
900043,20250202,6,103,3423,119,16063.44,34764.83
900044,20250202,1,104,6801,248,38578.93,36465.23
900045,20250204,5,103,7243,12,934.37,1656.77
900046,20250204,4,104,3111,13,1020.19,4178.72
900047,20250206,5,102,7876,362,63357.37,45962.42
900048,20250206,4,103,3370,0,0.0,0.0
900049,20250206,6,103,7992,202,10139.13,25275.28
900050,20250206,2,101,7723,68,8099.67,8804.87
900051,20250208,6,104,4902,243,19662.26,49571.6
900052,20250208,4,104,10112,220,33644.83,21756.33
900053,20250210,3,104,10126,255,15986.49,25182.7
900054,20250210,2,103,10708,325,51775.37,30351.14
900055,20250210,4,101,5977,189,16104.06,31621.21
900056,20250212,3,104,3445,38,4599.95,11030.48
900057,20250212,1,102,7888,194,30773.92,24594.32
900058,20250214,2,103,6354,145,8651.62,22820.27
900059,20250214,4,102,10590,203,19431.02,19169.03
900060,20250216,6,101,10867,447,74343.45,41133.71
