grn_id,date_id,supplier_id,material_id,quantity_received,quantity_rejected,rejection_cost,ppm
900000,20250323,4,102,11984,235,15513.49,19667
900001,20250115,5,102,11692,86,6561.56,7415
900002,20250104,3,104,10048,76,7862.02,7624
900003,20250205,5,103,4874,58,5357.87,11986
900004,20250201,5,101,6522,55,4186.84,8523
900005,20250129,2,104,6743,49,3288.61,7389
900006,20250118,3,103,10430,130,9526.29,12532
900007,20250114,3,103,4557,50,3707.06,11120
900008,20250328,3,101,7176,87,10117.0,12132
900009,20250311,5,101,10770,59,2790.58,5549
900010,20250112,4,101,4398,41,3056.55,9527
900011,20250317,3,102,9105,74,6253.71,8131
900012,20250224,6,101,8400,33,2404.53,4001
900013,20250105,5,103,9929,108,4764.49,10906
900014,20250104,2,101,7712,68,4419.72,8918
900015,20250112,4,103,4697,82,6608.63,17468
900016,20250128,6,104,5535,38,2201.7,6950
900017,20250130,6,102,4773,28,3013.64,5868
900018,20250306,2,104,9022,44,4444.37,4941
900019,20250319,4,104,6705,100,10761.24,15030
900020,20250104,5,103,3430,34,3887.11,9988
900021,20250313,1,104,7381,15,816.5,2118
900022,20250126,4,103,8062,109,7420.92,13567
900023,20250325,2,101,5972,30,2559.17,5173
900024,20250331,6,101,9566,34,1745.9,3570
900025,20250311,5,103,3502,20,1993.78,5751
900026,20250223,4,101,6524,92,6769.97,14163
900027,20250129,1,102,8585,22,1531.29,2644
900028,20250227,1,104,8314,43,4958.44,5181
900029,20250317,3,102,4391,30,1573.39,6861
900030,20250205,3,104,3815,27,1667.74,7336
900031,20250101,2,101,9947,79,6996.72,7978
900032,20250121,4,102,9785,122,6983.95,12475
900033,20250331,4,101,11394,112,7572.75,9864
900034,20250224,6,104,4816,25,2356.44,5320
900035,20250213,6,103,10972,80,7469.65,7316
900036,20250205,6,103,3744,17,1217.56,4806
900037,20250120,3,102,3897,23,1296.14,6125
900038,20250128,4,101,6460,66,6674.77,10248
900039,20250213,4,101,7742,103,5108.67,13375
900040,20250114,1,102,11149,56,4169.33,5059
900041,20250112,3,103,5116,62,5121.61,12229
900042,20250218,5,104,6770,61,5166.57,9098
900043,20250113,3,102,8802,63,4521.24,7180
900044,20250215,5,104,3693,31,1286.48,8573
900045,20250214,1,103,4275,23,1496.03,5531
900046,20250319,2,101,10033,87,6294.78,8697
900047,20250203,4,103,9843,125,6151.73,12743
900048,20250106,1,102,3341,19,1253.65,5957
900049,20250228,4,101,10538,203,23057.06,19298
900050,20250310,6,102,4443,29,3119.2,6577
900051,20250116,2,102,6986,52,4529.7,7569
900052,20250218,2,103,11584,53,3798.05,4644
900053,20250111,1,102,8083,40,2686.44,5054
900054,20250312,2,103,8456,45,2074.97,5377
900055,20250207,5,101,4868,45,3635.83,9346
900056,20250322,2,103,8724,59,5793.23,6876
900057,20250321,4,101,5419,64,3086.36,11871
900058,20250216,4,103,7193,80,4310.39,11232
900059,20250315,4,104,5504,103,4740.91,18739
900060,20250125,4,104,11095,173,17361.53,15601
900061,20250109,5,102,10354,109,12418.63,10579
900062,20250106,3,103,8295,92,4791.05,11179
900063,20250326,6,103,4118,28,2110.55,6841
900064,20250130,1,101,7961,41,2540.93,5261
900065,20250207,4,102,3920,53,4271.11,13766
900066,20250111,2,103,8085,62,4721.49,7782
900067,20250130,4,102,3932,55,5859.47,14041
900068,20250113,2,104,4257,20,1784.01,4739
900069,20250218,6,103,11307,69,5314.17,6149
900070,20250205,6,103,3672,24,2705.38,6684
900071,20250228,6,102,6084,34,3005.62,5633
900072,20250323,2,103,11214,58,6763.83,5235
900073,20250216,4,102,10381,100,10487.73,9695
